time,from,to,value
41.00,c2.out_1,c3.in_0,1
41.00,c1.out_0,c2.in_0,1
41.00,c1.out_0,c2.in_0,1
41.00,c2.out_1,c3.in_0,1
42.00,c2.out_1,c3.in_0,0
42.00,c1.out_0,c2.in_0,0
42.00,c1.out_0,c2.in_0,0
42.00,c2.out_1,c3.in_0,0
43.00,c2.out_1,c3.in_0,1
43.00,c1.out_0,c2.in_0,1
43.00,c1.out_0,c2.in_0,1
43.00,c2.out_1,c3.in_0,1
44.00,c2.out_1,c3.in_0,1
44.00,c1.out_0,c2.in_0,1
44.00,c1.out_0,c2.in_0,1
44.00,c2.out_1,c3.in_0,1
45.00,c2.out_1,c3.in_0,1
45.00,c1.out_0,c2.in_0,1
45.00,c1.out_0,c2.in_0,1
45.00,c2.out_1,c3.in_0,1
46.00,c2.out_1,c3.in_0,0
46.00,c1.out_0,c2.in_0,0
46.00,c1.out_0,c2.in_0,0
46.00,c2.out_1,c3.in_0,0
47.00,c2.out_1,c3.in_0,0
47.00,c1.out_0,c2.in_0,0
47.00,c1.out_0,c2.in_0,0
47.00,c2.out_1,c3.in_0,0
48.00,c2.out_1,c3.in_0,0
48.00,c1.out_0,c2.in_0,0
48.00,c1.out_0,c2.in_0,0
48.00,c2.out_1,c3.in_0,0
49.00,c2.out_1,c3.in_0,1
49.00,c1.out_0,c2.in_0,1
49.00,c1.out_0,c2.in_0,1
49.00,c2.out_1,c3.in_0,1
50.00,c2.out_1,c3.in_0,0
50.00,c1.out_0,c2.in_0,0
50.00,c1.out_0,c2.in_0,0
50.00,c2.out_1,c3.in_0,0
51.00,c2.out_1,c3.in_0,1
51.00,c1.out_0,c2.in_0,1
51.00,c1.out_0,c2.in_0,1
51.00,c2.out_1,c3.in_0,1
52.00,c2.out_1,c3.in_0,1
52.00,c1.out_0,c2.in_0,1
52.00,c1.out_0,c2.in_0,1
52.00,c2.out_1,c3.in_0,1
53.00,c2.out_1,c3.in_0,0
53.00,c1.out_0,c2.in_0,0
53.00,c1.out_0,c2.in_0,0
53.00,c2.out_1,c3.in_0,0
54.00,c2.out_1,c3.in_0,1
54.00,c1.out_0,c2.in_0,1
54.00,c1.out_0,c2.in_0,1
54.00,c2.out_1,c3.in_0,1
55.00,c2.out_1,c3.in_0,1
55.00,c1.out_0,c2.in_0,1
55.00,c1.out_0,c2.in_0,1
55.00,c2.out_1,c3.in_0,1
56.00,c2.out_1,c3.in_0,0
56.00,c1.out_0,c2.in_0,0
56.00,c1.out_0,c2.in_0,0
56.00,c2.out_1,c3.in_0,0
57.00,c2.out_1,c3.in_0,1
57.00,c1.out_0,c2.in_0,1
57.00,c1.out_0,c2.in_0,1
57.00,c2.out_1,c3.in_0,1
58.00,c2.out_1,c3.in_0,0
58.00,c1.out_0,c2.in_0,0
58.00,c1.out_0,c2.in_0,0
58.00,c2.out_1,c3.in_0,0
59.00,c2.out_1,c3.in_0,0
59.00,c1.out_0,c2.in_0,0
59.00,c1.out_0,c2.in_0,0
59.00,c2.out_1,c3.in_0,0
60.00,c2.out_1,c3.in_0,1
60.00,c1.out_0,c2.in_0,1
60.00,c1.out_0,c2.in_0,1
60.00,c2.out_1,c3.in_0,1
61.00,c2.out_1,c3.in_0,0
61.00,c1.out_0,c2.in_0,0
61.00,c1.out_0,c2.in_0,0
61.00,c2.out_1,c3.in_0,0
62.00,c2.out_1,c3.in_0,1
62.00,c1.out_0,c2.in_0,1
62.00,c1.out_0,c2.in_0,1
62.00,c2.out_1,c3.in_0,1
63.00,c2.out_1,c3.in_0,0
63.00,c1.out_0,c2.in_0,0
63.00,c1.out_0,c2.in_0,0
63.00,c2.out_1,c3.in_0,0
64.00,c2.out_1,c3.in_0,1
64.00,c1.out_0,c2.in_0,1
64.00,c1.out_0,c2.in_0,1
64.00,c2.out_1,c3.in_0,1
65.00,c2.out_1,c3.in_0,1
65.00,c1.out_0,c2.in_0,1
65.00,c1.out_0,c2.in_0,1
65.00,c2.out_1,c3.in_0,1
66.00,c2.out_1,c3.in_0,0
66.00,c1.out_0,c2.in_0,0
66.00,c1.out_0,c2.in_0,0
66.00,c2.out_1,c3.in_0,0
67.00,c2.out_1,c3.in_0,0
67.00,c1.out_0,c2.in_0,0
67.00,c1.out_0,c2.in_0,0
67.00,c2.out_1,c3.in_0,0
68.00,c2.out_1,c3.in_0,1
68.00,c1.out_0,c2.in_0,1
68.00,c1.out_0,c2.in_0,1
68.00,c2.out_1,c3.in_0,1
69.00,c2.out_1,c3.in_0,0
69.00,c1.out_0,c2.in_0,0
69.00,c1.out_0,c2.in_0,0
69.00,c2.out_1,c3.in_0,0
70.00,c2.out_1,c3.in_0,0
70.00,c1.out_0,c2.in_0,0
70.00,c1.out_0,c2.in_0,0
70.00,c2.out_1,c3.in_0,0
71.00,c2.out_1,c3.in_0,0
71.00,c1.out_0,c2.in_0,0
71.00,c1.out_0,c2.in_0,0
71.00,c2.out_1,c3.in_0,0
72.00,c2.out_1,c3.in_0,1
72.00,c1.out_0,c2.in_0,1
72.00,c1.out_0,c2.in_0,1
72.00,c2.out_1,c3.in_0,1
73.00,c2.out_1,c3.in_0,1
73.00,c1.out_0,c2.in_0,1
73.00,c1.out_0,c2.in_0,1
73.00,c2.out_1,c3.in_0,1
74.00,c2.out_1,c3.in_0,0
74.00,c1.out_0,c2.in_0,0
74.00,c1.out_0,c2.in_0,0
74.00,c2.out_1,c3.in_0,0
75.00,c2.out_1,c3.in_0,1
75.00,c1.out_0,c2.in_0,1
75.00,c1.out_0,c2.in_0,1
75.00,c2.out_1,c3.in_0,1
76.00,c2.out_1,c3.in_0,0
76.00,c1.out_0,c2.in_0,0
76.00,c1.out_0,c2.in_0,0
76.00,c2.out_1,c3.in_0,0
77.00,c2.out_1,c3.in_0,1
77.00,c1.out_0,c2.in_0,1
77.00,c1.out_0,c2.in_0,1
77.00,c2.out_1,c3.in_0,1
78.00,c2.out_1,c3.in_0,0
78.00,c1.out_0,c2.in_0,0
78.00,c1.out_0,c2.in_0,0
78.00,c2.out_1,c3.in_0,0
79.00,c2.out_1,c3.in_0,0
